Movie_name,Movie_Genre,Movie_Certification,Release,Runtime,Lead_Actor,Lead_Actress,Movie_Critic_Rating,Movie_User_Rating,Movie_Synopsis,Movie_Full_Cast
Madras,Action,UA,26 Sep 2014,2 hrs 36 mins,Karthik,Catherine Tresa,4,4,"We think we know what the outcome of a scene would be, but he constantly surprises us with how the scene is executed","Karthi, Catherine Tresa Alexander, Kalaiarasan, Vinoth, Nanthakumar, Rama, Rithika, Jayabalan"
Jigarthanda,Action,UA,01 Aug 2014,2 hrs 50 mins,Siddharth,Lakshmi Menon,4,4.3,The film reinforces that Karthik Subbaraj is one of the exciting filmmakers of our time,"Siddharth, Lakshmi Menon, Simhaa, Karuna, Naren, Ambika"
Vaayai Moodi Pesavum,Fantasy,UA,25 Apr 2014,2 hrs 20 mins,Dulquer Salmaan,Nazriya Nazim,4,3.9,"Humour is Balaji Mohan's trump card and he provides that in liberal doses and in every form, from intelligent ones to downright silly","Dulquer Salmaan, Nazriya Nazim, Madhoo, R Pandiarajan, Vinu Chakravarthy, Arjunan, Blade Shankar, John Vijay"
Ayirathil Oruvan,Adventure,A,14 Jan 2014,2 hrs 50 mins,,,4,3.7,"It is remarkable that for an almost three-hour film, the film whizzes past from scene to scene and any problem that we may have with the dated staging or the theatrical acting is washed away by the narrative","MGR, Jayalalithaa, MN Nambiar, RS Manohar, Nagesh, SV Ramadoss"
Meaghamann,Action,A,25 Dec 2014,2 hrs 19 mins,Arya,Hansika Motwani,3.5,3.5,"Meaghamann takes a while to pick up, but once we get the background info on the gangs and cops, we are drawn into the plot","Arya, Hansika, Sudhanshu Pandey, Ashutosh Rana, Ramana, Harish Uthaman, Anupama Kumar, Mahadevan, Ashish Vidyarthi"
Ra,Horror,UA,05 Dec 2014,1 hr 49 mins,,,3.5,3.5,Ra is a haunted house thriller but the writers introduce an element of fantasy that gives it a different colour,"Ashraf, Aditi Chengappa, Lawrence Ramu, Rithika, Ravi Prakash, JP Jay"
Kaaviyathalaivan,Drama,UA,28 Nov 2014,2 hrs 31 mins,,,3.5,3.7,The earnestness with which the team has worked on the film is quite evident on screen that we often tend to overlook the weaker aspects,"Siddharth, Prithviraj, Vedhicka, Nasser, Anaika, Thambi Ramaiah, Singam Puli"
Naaigal Jaakirathai,Thriller,UA,21 Nov 2014,1 hr 54 mins,Sibi Sathyaraj,Arundhathi Nair,3.5,3.7,"Shakti Soundar Rajan gives us a film that is more of an investigative thriller in which the dog plays a central role, and it does keep you engaged","Idoh The Dog, Sibiraj, Arundhati, Balaji Venugopal, Mayilsamy, Manobala"
Kuraiondrumillai,Drama,UA,10 Oct 2014,2 hrs 1 min,,,3.5,3.6,A bunch of inexperienced youngsters come together to deliver a film that can so easily be cited as a fine example of responsible filmmaking,"Geethan, Haritha, Hitler, Krishna Viswanathan, Sathiya Moorthy, Amrutha Srinivasan, Mani Megalai"
Kathai Thiraikathai Vasanam Iyakkam,Drama,UA,15 Aug 2014,2 hrs 8 mins,Santhosh Prathap,Akhila Kishore,3.5,3.7,"The film moves forward and backward, sideways and at times even nowhere but the writing is quite good that we are always clear where it stands","Santhosh Prathap, Akhila Kishore, Thambi Ramaiah, Dinesh Natarajan, Lallu Prasath, Sahithya Jagannathan, Vijay Ram, Mahalakshmi"
Sathuranka Vettai,Crime,UA,18 Jul 2014,2 hrs 25 mins,,,3.5,3.4,"The real hero of Sathuranka Vettai is its script, which, with its twists and turns, keeps us guessing for most parts of the film","Nataraj, Ishara Nair, Ponvannan, Ilavarasu, Dharani"
Saivam,Drama,UA,27 Jun 2014,2 hrs 0 mins,,,3.5,3.5,"Vijay has created a two-hour-long feel-good film, which is part humourous and part sentimental but never delves into melodrama","Sara, Nasser, Luthfudeen Basha, Twaara Desai, Vidya, George, Malathi"
Mundasupatti,Comedy,UA,13 Jun 2014,2 hrs 28 mins,Vishnu Vishal,Nandita Swetha,3.5,3.8,Mundasupatti is one heady cocktail when it comes to the genres that the film dabbles in,"Vishnu Vishal, Nandita, Kaali Venkat, Ramadas, Anandaraj"
Kochadaiiyaan,History,U,23 May 2014,1 hr 50 mins,Rajinikanth,Deepika Padukone,3.5,3.7,Kochadaiiyaan succeeds not because of technology but because of the writing,"Rajinikanth, Deepika Padukone, Nasser, Jackie Shroff, Sarath Kumar, Aadhi, Shobana, Nagesh"
Yennamo Nadakkudhu,Thriller,UA,25 Apr 2014,2 hrs 7 mins,Vijay Vasanth,Mahima Nambiar,3.5,3.4,The film is tautly written with one scene leading into another or informing the other so that there is hardly a wasted moment.,"Vijay Vasanth, Mahima, Prabhu, Rahman, Thambi Ramaiah, Saranya Ponvannan, Vincent Asokan"
O Kadhal Kanmani,Romance,UA,17 Apr 2014,2 hrs 18 mins,Dulquer Salmaan,Nithya Menon,3.5,4.1,"The film is a spiritual cousin to another Mani Ratnam outing, Alaipayuthey","Dulquer Salmaan, Nithya Menen, Prakash Raj, Leela Samson, Ramya"
Oru Kanniyum Moonu Kalavaanikalum,Comedy,UA,04 Apr 2014,2 hrs 21 mins,Arulnithi,Bindhu Madhavi,3.5,3.5,"The first hour of OKMK is a terrific, nail-biting black comedy cum thriller and soon turns into a what-f movie","Arulnithi, Bindu Madhavi, Bagavathi Perumal, Ashrita Shetty, Karthik Sabesh, Nasser, Ravi Raghavendra, VS Raghavan, Delhi Ganesh, Aadukalam Naren"
