Movie_name,Movie_Genre,Movie_Certification,Release,Runtime,Lead_Actor,Lead_Actress,Movie_Critic_Rating,Movie_User_Rating,Movie_Synopsis,Movie_Full_Cast
Thuppakki,Action,UA,13 Nov 2012,2 hrs 40 mins,Vijay,Kajal Aggarwal,3.5,3.9,It was a masterstroke by director A R Murugadoss to locate 'Thuppakki' (gun) in Mumbai.,"Vijay, Kajal Agarwal, Sathyan, Vidyut Jamwal, Jayaram, Zakir Hussain"
Maattrraan,Drama,UA,12 Oct 2012,2 hrs 48 mins,Suriya,Kajal Aggarwal,3.5,3.1,"In Maattrraan, the makers, attempt to warn us about the dangers of genetic engineering and interfering with nature.","Suriya, Kajal Agarwal, Sachin Khedekar, Thara, Ravi Prakash, Irina Maleeva"
Sundarapandian,Drama,UA,13 Sep 2012,2 hrs 35 mins,Sasikumar,Lakshmi Menon,3.5,3.2,"The racy script, easy flowing dialogues and the twists he introduces in the screenplay to take it off the beaten path are commendable.","M Sasikumar, Lakshmi Menon, Soori, Vijay Sethupathi, Inigo Prabhakaran, Appukutty, Sounthara Raja"
Mugamoodi,Action,UA,31 Aug 2012,2 hrs 37 mins,Jiiva,Pooja Hegde,3.5,2.5,"Though the mask, cape and body hugging suit are bang on, where the director fails is in giving Mugamoodi a worthy adversary to match wits with.","Jiiva, Narain, Pooja Hegde, Selvaah, Nasser, Girish Karnad"
Attakathi,Romance,UA,15 Aug 2012,2 hrs 26 mins,Dinesh,Nandita Swetha,3.5,2.7,Ignore the hype machine and go with an open mind and you will enjoy this better.,"Dinesh, Nanditha, Aishwarya, Velu, Meenakshi"
Naan,Thriller,UA,15 Aug 2012,2 hrs 15 mins,Vijay Antony,Rupa Manjiri,3.5,3.7,"The tagline of the movie says “No one is perfect”, but it is good to see debutant directors and actors striving to attain it.","Vijay Antony, Siddharth, Vijay Victor, Rupa Manjiri, Anuya, Krishnamoorthy"
Madhubaanakadai,Drama,UA,02 Aug 2012,1 hr 52 mins,,,3.5,3.1,"Even if experimental films aren’t your cup of tea (or glass of beer in this case), just take a sip and you won’t regret tasting it.","N T Rajkumar, Karthi Vel, Arvind Annamalai, Diana, Ramu, Ravi, Paruthi, Rajan Bala"
Kalakalappu,Comedy,UA,11 May 2012,2 hrs 35 mins,Shiva,Oviya helen,3.5,3.6,Kalakalappu remains true to its title and is jolly good fun throughout.,"Vimal, Shiva, Santhanam, Anjali, Oviya, John Vijay, Subbu"
Leelai,Romance,UA,27 Apr 2012,2 hrs 20 mins,,,3.5,3.9,The director ties up himself in knots and fumbles while trying to unravel them.,"Shiv Pandit, Manasi Parekh, Santhanam, Suhasini, Lakshmi Ramakrishnan"
Krishnaveni Panjaalai,Drama,UA,14 Apr 2012,2 hrs 0 mins,,,3.5,2.9,‘Krishnaveni Panjaalai’ works in parts and could have been more engaging had its screenplay been more tightly knit.,"Hemachandran, Nandana, Rajiv Krishna, Shanmuga Raja, M S Bhaskar"
Oru Kal Oru Kannadi,Romance,UA,13 Apr 2012,2 hrs 52 mins,Udhayanidhi Stalin,Hansika Motwani,3.5,3.2,How else does one explain sitting through almost a three-hour-long movie without realising the passage of time?,"Udhayanidhi Stalin, Santhanam, Madhumita, Hansika Motwani, Saranya Ponvannan, Azhagamperumal, Sayaji Shindi, Uma Padmanabhan"
Kazhugoo,Romance,UA,16 Mar 2012,2 hrs 15 mins,Krishna,Bindhu Madhavi,3.5,2.8,The director has a clear sense of what he is doing and hence the film is gripping from start to finish.,"Krishna, Bindu Madhavi, Thambi Ramaiah, Karunas, Jayaprakash, Sugibala"
Aravaan,Drama,UA,02 Mar 2012,2 hrs 48 mins,,,3.5,3.7,A period film that recreates the lives of certain communities of ancient Madurai.,
Ambuli,Horror,UA,17 Feb 2012,2 hrs 15 mins,,,3.5,3.5,"Though horror movie fans are guaranteed their kicks, the 3D movie is clean fun for the whole family too.","Srijith, Ajay, Parthiepan, Thambi Ramaiah, Sanam, Jagan, Gokul"
Dhoni,Drama,UA,10 Feb 2012,Nan,Prakash Raj,Radhika Apte,3.5,3,A must-watch for all parents and children for the pertinent points it makes about how we view education and success!,"Prakash Raj, Aakash, Radhika Apte, Murli Sharma, Nasser"
Nanban,Comedy,UA,12 Jan 2012,Nan,Vijay,Ileana D Cruz,3.5,3.6,"Shankar's retelling of ""3 Idiots"" retains its soul and has its heart in the right place.","Vijay, Jiiva, Srikanth, Ileana, Sathyaraj, Sathyan"
Poda Podi,Romance,UA,13 Nov 2012,Nan,Silambarasan,Varalaxmi Sarathkumar,3,2.3,"The story is lopsided at most times, titling towards the man's point-of-view.","Silambarasan, Varalaxmi Sarathkumar, VTV Ganesh, Shobhana"
Thaandavam,Drama,UA,28 Sep 2012,2 hrs 47 mins,Vikram,Anushka,3,2.6,"Director Vijay misses some steps; with a faster pace, this Thaandavam could have made much more impact.","Vikram, Jagapathi Babu, Anushka, Amy Jackson, Lakshmi Rai, Nasser, Santhanam"
Saattai,Drama,UA,21 Sep 2012,2 hrs 18 mins,Samuthirakani,Mahima Nambiar,3,3.1,Saattai is a commercial potboiler dressed up as arty fare.,"Samuthirakani, Thambi Ramaiah, Yuvan, Mahima, Junior Balaiah, Swasika"
Chaarulatha,Horror,UA,21 Sep 2012,2 hrs 5 mins,,Priya Mani,3,2.8,Chaarulatha could well mark the beginning of a very welcome trend in Indian cinema.,"Priya Mani, Skanda, Saranya Ponvanan, Seetha, Sai Sasi"
Aaranya Kaandam,Action,UA,10 Jun 2011,Nan,,,4.5,4.3,The writing (Kumararaja) and acting is very good and the characters are fleshed out very well.,"Jackie Shroff, Sampath, Yasmin Ponappa, Ravi Krishna, Guru Somasundaram, Master Vasanth, Ajai Raj"
Vaagai Sooda Vaa,Comedy,UA,29 Sep 2011,Nan,Vimal,Iniya,4,4,"Sargunam comes up with an engaging narrative in ‘Vaagai Sooda Vaa’, with few dull moments in between.","Vimal, Iniya, Thambi Ramaiah, Ponvannan, K Bhagyaraj, Kumaravel"
Engeyum Eppodhum,Romance,UA,16 Sep 2011,Nan,Jai,Anjali,4,3.9,The film is the perfect example of a movie relying solely on its screenplay and performances to strike it rich,"Anjali, Jai, Ananya and Sharwanand"
Mankatha,Action,UA,31 Aug 2011,2 hrs 11 mins,Ajith Kumar,Trisha Krishnan,4,4,"This Venkat Prabhu game is a good watch, especially because of Ajith's baddie act.","Ajith, Arjun, Trisha, Jayaprakash, Vaibhav, Lakshmi Rai, Premji, Anjali, Mahat Raghavendra, Ashwin Kakumanu, Andrea Jeremiah, Arvind Akash, Subbu Panchu"
Azhagarsamiyin Kudhirai,Drama,UA,12 May 2011,Nan,,,4,4.2,Go for it. It’s a ride that is worth your time.,"Appukutty, Saranya Mohan, Prabhakaran, Advaita, Soori, Aruldass"
Ko,Action,UA,22 Apr 2011,Nan,Jiiva,Karthika Nair,4,4,"Director Anand gives notice of his immense talent once again, making a movie that is all set to lord over the box office this summer!","Karthika Nair, Piaa Bajpai, Ajmal Ameer, Prakash Raj, Kota Srinivasa Rao, Bose Venkat"
Yudham Sei,Thriller,UA,03 Feb 2011,Nan,Cheran,,4,4,‘Yuddham Sei’ carries all the weapons needed for it to win its battle at the box-office.,"Cheran, Jayaprakash, Deepa Shah, Y G Mahendra, Lakshmi Ramakrishnan"
Poraali,Drama,UA,01 Dec 2011,Nan,Sasikumar,,3.5,3,"Sasikumar is the strength of 'Poraali', and rightfully enjoys the maximum screen space.","Sasikumar, Allari Naresh, Swati, Nivetha, Ganja Karuppu, Vasundhara, Suri, Namo Narayanan"
Mayakkam Enna,Drama,UA,25 Nov 2011,2 hrs 25 mins,Dhanush,Richa Gangopadhyay,3.5,3.2,The movie is a beautiful study on love and friendship -- the emotions are very complex.,"Dhanush, Richa Gangopadhyay, Sunder Ramu, Ravi Prasad"
Velayudham,Drama,UA,26 Oct 2011,Nan,Vijay,Hansika Motwani,3.5,3.4,"Vijay can do no wrong, especially with a movie tailor-made to suit his image.","Vijay, Santhanam, Genelia D'Souza, Hansika Motwani, Saranya Mohan, M S Bhaskar, Sayaji Shinde, Abhimanyu Singh, Vincent Asokan"
Payanam,Thriller,UA,11 Feb 2011,Nan,Nagarjuna,,3.5,3.6,‘Payanam’ would have been a more engaging watch only if the journey was a littler shorter.,"Nagarjuna, Prakash Raj, M S Prabhu, Prithviraj and Chams"
Mounaguru,Drama,UA,16 Dec 2011,Nan,Arulnithi,Iniya,3,3,Mounaguru could very well prove to be silent killers at the box-office.,"Arulnidhi, John Vijay, Uma Riyaz Khan, Murugadas, Iniya"
7 Aum Arivu,Drama,UA,26 Oct 2011,Nan,Suriya,Shruthi Hassan,3,3.1,"If the movie deserves a look, it is only because of the ever-dependable Suriya.","Suriya, Shruti Haasan, Johnny Tri Nguyen"
Muran,Drama,UA,30 Sep 2011,Nan,Prasanna,,3,3.1,A tighter screenplay and a shorter running length would have made ‘Muran’ a much more engaging conflict to watch.,"Cheran, Prasanna, Haripriya, Nikitha, Jayaprakash"
Potta Potti 50-50,Comedy,UA,05 Aug 2011,Nan,Sadagopan Ramesh,,3,2.8,"A small, delightful movie with quirky characters, which occasionally reminds you of ""Lagaan"".","Sadagopan Ramesh, Harini, Mayilsamy, R Sivam, 'Avathar' Ganesh, Umar"
Veppam,Action,UA,29 Jul 2011,Nan,Nani,Bindhu Madhavi,3,2.6,"‘Veppam’ (heat), leaves the audience quite cold when it finally ends.","Nani, Karthik Kumar, Nithya Menen, Bindhu Madhavi, Muthukumar, Jennifer"
Vaanam,Drama,UA,29 Apr 2011,Nan,Silambarasan,Anushka,3,2.8,The film largely works because Krish does not deviate much from his original script.,"Silambarasan, Anushka, Bharath, Prakash Raj, Saranya, Santhanam, Sonia Agarwal, Ravi Prakash, Vega, V T V Ganesh, Jayaprakash"
Kullanari Koottam,Romance,UA,25 Mar 2011,Nan,Vishnu Vishal,Ramya Nambeesan,3,3.1,"Though it could have been made into a breezy entertainer, it ends up as an unsatisfactory watch.","Vishnu, Ramya Nambeesan, Soori, Appukutty and Sundar"
Seedan,Comedy,UA,25 Feb 2011,Nan,Jai,Ananya,3,2.6,"Though Subramaniam Siva meanders in the first half, he displays a much better grip in the second, which makes the movie an enjoyable watch.","Ananya, Jai Krishna, Dhanush, Vivek, Suhasini, Ilavarasu"
Padhinaru,Drama,UA,28 Jan 2011,Nan,Shiva,Madhu Shalini,3,2.4,"The message would have reached home better if he had delivered it in a short and sweet manner, much like the name of his movie.","Shiva, Madhu Shalini, Abhishek, Vineetha"
Kaavalan,Romance,UA,15 Jan 2011,Nan,Vijay,Asin,3,3.1,"Though it faced a lot of problems in its release, the success of the movie should hopefully persuade Vijay in delaying his political plans.","Vijay, Asin, Raj Kiran, Mithra Kurian and Roja"
Siruthai,Action,UA,14 Jan 2011,Nan,Karthik,Tamannaah,3,2.5,"Rocket Raja (Karthi) and Kaatupoochi (Santhanam) are conmen, always on the lookout for a trick to make a fast buck.","Karthi, Tamannah, Santhanam, Avinash and Baby Rakshana"
Rajapattai,Action,UA,23 Dec 2011,Nan,Vikram,,2.5,2,The director seems to have forgotten his homework and comes up with only a mildly interesting screenplay.,"Vikram, K Viswanath, Mithra Kurian, Deeksha Seth, Thambi Ramaiah, Pradeep Singh Rawat"
Vengayam,Thriller,UA,19 Aug 2011,2 hrs 15 mins,,,2.5,3.2,The film pretty much follows the formula of vigilante films but brings a couple of new things to the table.,"Alexander, Pavina, Sathyaraj"
Venghai,Drama,UA,08 Jul 2011,Nan,Dhanush,Tamannaah,2.5,2,"If this ‘Venghai’ succeeds in killing you, it is only because of boredom.","Dhanush, Tamannah, Prakash Raj, Raj Kiran"
Nootrenbadhu,Romance,UA,24 Jun 2011,Nan,Siddharth,Priya Anand,2.5,2.4,"Thankfully, the movie is just around 135 minutes long, and not as long as its title.","Siddharth, Priya Anand, Nithya Menen, Mouli, GeethaDirector -- Jayendra"
Ponnar Shankar,Drama,UA,09 Apr 2011,Nan,Prashanth,,2.5,2.4,Too many gaps in the story ensure that the movie never rises above its mediocrity and ends up being an epic disappointment.,"Prashanth, Divya Parameswaran, Pooja Chopra, Sneha, Nasser, Vijayakumar, Prakash Raj, Napoleon, Ponvannan, Kushboo, Jayaram, Rajkiran"
Nadunisi Naaygal,Thriller,UA,18 Feb 2011,Nan,Veera,Sameera Reddy,1.5,1.7,"Gautham Menon takes up a very pertinent issue as the theme, even though they do not all grow up to be the monster portrayed in the movie.","Veera, Sameera Reddy, Deva, Swapna Abraham"
Ilaignan,Drama,UA,14 Jan 2011,Nan,,,1.5,1.4,The archaic writing and hackneyed situations never allow ‘Ilaignan’ to grow among the audience and bloom into youth.,"Pa Vijay, Kushboo, Meera Jasmine, Ramya Nambeesan, Suman and Nasser"
Mappillai,Drama,UA,08 Apr 2011,Nan,Dhanush,Hansika Motwani,1,1.1,"Gayathri (Hansika Motwani), the daughter of a ruthless construc-tion magnate Rajeswari (Manisha Koirala), falls in love with Sara-vanan (Dhanush).","Dhanush, Hansika Motwani, Manisha Koirala, Vivek, Ashish Vidyarthi"
